City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,8.62,78,0,8.05,US,2022-04-18 02:15:03
1,Nuuk,64.1835,-51.7216,23.88,85,100,4.0,GL,2022-04-18 02:11:58
2,Barcelona,41.3888,2.159,58.86,71,0,9.22,ES,2022-04-18 02:15:00
3,Bluff,-46.6,168.3333,61.81,62,68,2.71,NZ,2022-04-18 02:16:02
4,Coari,-4.085,-63.1414,73.33,96,89,2.3,BR,2022-04-18 02:16:02
5,Rikitea,-23.1203,-134.9692,78.48,63,2,10.27,PF,2022-04-18 02:15:38
6,Torbay,47.6666,-52.7314,51.89,93,100,15.41,CA,2022-04-18 02:14:46
7,Gacko,43.1672,18.5353,31.14,87,100,9.8,BA,2022-04-18 02:16:03
8,Albany,42.6001,-73.9662,39.58,63,7,6.87,US,2022-04-18 02:15:14
9,Ushuaia,-54.8,-68.3,44.26,93,100,9.22,AR,2022-04-18 02:11:29
10,Lebu,-37.6167,-73.65,52.25,91,21,7.14,CL,2022-04-18 02:16:03
11,Lorengau,-2.0226,147.2712,83.89,76,35,6.49,PG,2022-04-18 02:16:04
12,Avarua,-21.2078,-159.775,80.65,69,20,4.61,CK,2022-04-18 02:15:16
13,Moroni,-11.7022,43.2551,78.67,79,8,7.99,KM,2022-04-18 02:16:04
14,New Norfolk,-42.7826,147.0587,59.92,49,100,1.01,AU,2022-04-18 02:15:47
15,Isangel,-19.55,169.2667,83.28,71,100,2.86,VU,2022-04-18 02:16:05
16,Mataura,-46.1927,168.8643,61.48,46,20,2.84,NZ,2022-04-18 02:15:34
17,Yulara,-25.2406,130.9889,78.64,25,40,4.61,AU,2022-04-18 02:16:05
18,Nikolskoye,59.7035,30.7861,38.71,75,100,2.98,RU,2022-04-18 02:16:06
19,Puerto Ayacucho,5.6639,-67.6236,76.68,89,86,4.07,VE,2022-04-18 02:16:06
20,Luderitz,-26.6481,15.1594,68.79,47,0,8.79,NA,2022-04-18 02:12:15
21,Cherskiy,68.75,161.3,15.96,82,100,3.98,RU,2022-04-18 02:16:06
22,Tuktoyaktuk,69.4541,-133.0374,15.8,67,75,6.91,CA,2022-04-18 02:16:07
23,Fort Nelson,58.8053,-122.7002,20.79,42,75,0.0,CA,2022-04-18 02:16:07
24,Butaritari,3.0707,172.7902,81.59,73,30,12.71,KI,2022-04-18 02:15:16
25,Davila,18.4726,120.5763,87.78,65,100,9.8,PH,2022-04-18 02:16:07
26,Bowen,-20.0167,148.2333,81.39,56,7,16.02,AU,2022-04-18 02:16:08
